id,name,country,entity_type,date_added,program,notes
1,Redstone Commerce LLC,Russia,Organization,2022-03-15,UKRAINE-EO13685,Shell company linked to state energy contracts
2,Brightwave Shipping Co.,China,Organization,2021-08-04,DPRK-EO13722,Suspected vessel operator for North Korean coal exports
3,Viktor Morozenko,Russia,Individual,2022-03-15,UKRAINE-EO13685,Director of Redstone Commerce LLC
4,Apex Meridian Holdings,UAE,Organization,2020-11-22,IRAN-EO13599,Real estate front used to obscure Iranian assets
5,Layla Al-Farouqi,Iraq,Individual,2019-06-30,SDGT,Alleged financier for regional extremist network
6,Clearwater Maritime Ltd,Malta,Organization,2023-01-10,RUSSIA-EO14024,Operator of vessels transporting sanctioned cargo
7,Sung-jin Kwak,North Korea,Individual,2021-08-04,DPRK-EO13722,Procurement agent for weapons components
8,Pinnacle Capital Group,Turkey,Organization,2020-03-18,SDGT,Used to move funds through formal banking system
9,Rodrigo Salinas Vega,Venezuela,Individual,2022-07-29,VENEZUELA-EO13884,Connected to state oil revenue skimming scheme
10,Norbridge Ventures LLC,Cyprus,Organization,2021-05-03,RUSSIA-EO14024,Holding company obscuring oligarch assets
11,Omar Farah Warsame,Somalia,Individual,2018-12-11,SOMALIA,Piracy financing network coordinator
12,Transpacific Crown Logistics,Singapore,Organization,2022-11-30,DPRK-EO13722,Freight forwarder for dual-use goods procurement
13,Natalia Drozdova,Russia,Individual,2023-02-28,RUSSIA-EO14024,Banker facilitating sanctions evasion through third countries
14,Tidewater Resource Partners,Oman,Organization,2021-09-14,IRAN-EO13599,Oil trading intermediary obscuring Iranian crude origin
15,Marco Delgado Ríos,Colombia,Individual,2019-03-05,SDNTK,Senior logistics figure in transnational drug trafficking org
16,Eastbridge Import Export,Georgia,Organization,2023-04-17,RUSSIA-EO14024,Trans-shipment node for controlled technology exports
17,Ji-ho Baek,China,Individual,2020-06-22,DPRK-EO13722,Front company operator facilitating luxury goods imports
18,Surehaul Freight Services,Serbia,Organization,2022-08-08,RUSSIA-EO14024,Trucking firm used to circumvent EU export controls
19,Dariush Karimi,Iran,Individual,2017-10-01,IRAN-TRA,Procurement network operator for ballistic missile program
20,Goldport Asset Partners,British Virgin Islands,Organization,2023-03-22,RUSSIA-EO14024,Offshore vehicle holding European real estate proceeds
21,Irongate Petroleum LLC,Iran,Organization,2018-05-14,IRAN-EO13599,Intermediary for crude oil sales disguised as third-party trades
22,Alexei Volkonsky,Russia,Individual,2022-06-01,UKRAINE-EO13685,Senior official linked to occupied territory revenue extraction
23,Bluecrest Trade Finance,UAE,Organization,2021-07-19,IRAN-EO13599,Trade finance vehicle used to settle Iranian oil transactions
24,Yeon-suk Cho,North Korea,Individual,2020-11-03,DPRK-EO13722,IT contractor generating hard currency for state weapons program
25,Sandoval Portillo Group,Mexico,Organization,2019-08-22,SDNTK,Financial holding structure for cartel money laundering
26,Mirela Bogdanović,Serbia,Individual,2022-09-05,RUSSIA-EO14024,Logistics coordinator for sanctioned cargo through Balkan routes
27,Fareast Commodities Ltd,Hong Kong,Organization,2021-03-30,DPRK-EO13722,Commodities broker facilitating coal and iron ore exports
28,Grigory Chesnokov,Russia,Individual,2023-01-25,UKRAINE-EO13685,Oligarch with interests in occupied Ukrainian industrial assets
29,Crestline Bunker Supply,UAE,Organization,2022-04-11,RUSSIA-EO14024,Ship-to-ship fuel transfer operator serving sanctioned vessels
30,Farouk Nasser Al-Omari,Syria,Individual,2017-06-18,SYRIA-EO13582,Financier connected to regime procurement network
31,Vantage Point Holdings,Cyprus,Organization,2020-08-03,RUSSIA-EO14024,Offshore holding company for Russian media assets
32,Hana Petrovičová,Czech Republic,Individual,2023-05-09,RUSSIA-EO14024,Facilitator of technology transfers to sanctioned Russian defense firms
33,Colossus Energy Trading,Turkey,Organization,2022-10-17,RUSSIA-EO14024,Energy broker routing Russian crude through Turkish intermediaries
34,Kwame Asante-Boateng,Ghana,Individual,2021-01-14,SDGT,Financial node in West African terror financing network
35,Northstar Bulk Carriers,Panama,Organization,2022-07-04,DPRK-EO13722,Flag-of-convenience operator for North Korean cargo vessels
36,Oksana Tymoshchuk,Ukraine,Individual,2023-03-19,UKRAINE-EO13685,Collaborator facilitating asset transfers to Russian-controlled entities
37,Alhambra Capital Advisors,Spain,Organization,2020-05-28,IRAN-EO13599,Investment advisory firm moving Iranian sovereign wealth
38,Tariq Mansour Al-Jabri,Kuwait,Individual,2019-11-07,SDGT,Donor network operator for Gulf-based extremist financing
39,Meridian Dry Bulk Inc.,Marshall Islands,Organization,2021-06-22,DPRK-EO13722,Vessel management company operating ships for DPRK coal trade
40,Bogdan Lysychenko,Russia,Individual,2022-08-30,UKRAINE-EO13685,Customs official facilitating cross-border contraband flows
